Question ID,Answer
100716,"[('aaron_burr', 0.0516611111111111), ('alexander_kerensky', 0.03333333333333333), ('chester_a._arthur', 0.0035151515151515154), ('henry_hudson', 0.003333333333333333), ('john_quincy_adams', 0.003033333333333333), ('anti-masonic_party', 0.0028333333333333335), ('khmer_empire', 0.002638888888888889), ('missouri_compromise', 0.0025), (""shays'_rebellion"", 0.0023333333333333335), ('mary_baker_eddy', 0.0023333333333333335), ('whiskey_rebellion', 0.002292857142857143)]"
102459,"[('black_hawk_war', 0.101), ('vitus_bering', 0.1005), ('battle_of_trenton', 0.10025), (""coxey's_army"", 0.10020000000000001), ('rough_riders', 0.1), ('nelson_mandela', 0.06841666666666667), ('whiskey_rebellion', 0.06779166666666667), ('jacques_cartier', 0.06725), ('battle_of_trafalgar', 0.067), ('francisco_franco', 0.06666666666666667), ('peterloo_massacre', 0.051000000000000004)]"
102774,"[('great_northern_war', 0.14176827889882807), ('benito_mussolini', 0.05097619047619048), ('battle_of_bannockburn', 0.03503333333333333), ('bonus_army', 0.0220968253968254), ('hanseatic_league', 0.019936111111111113), ('battle_of_culloden', 0.0048095238095238095), ('babur', 0.004533333333333334), ('teutonic_knights', 0.004235479226655698), ('john_paul_jones', 0.0041666666666666675), ('easter_rising', 0.004166666666666667), ('battle_of_lepanto', 0.00405952380952381)]"
102977,"[('edward_the_confessor', 0.07561666666666667), ('taiping_rebellion', 0.017943589743589745), ('teutonic_knights', 0.0034761904761904765), ('songhai_empire', 0.0030714285714285713), ('arthur_wellesley,_1st_duke_of_wellington', 0.003), ('darius_i', 0.0026102564102564105), ('vitus_bering', 0.00255), ('mali_empire', 0.002458333333333333), ('oda_nobunaga', 0.002416666666666667), ('babur', 0.002416666666666667), ('alfred_the_great', 0.0024000000000000002)]"
104790,"[('hull_house', 0.101), ('brook_farm', 0.10047619047619048), ('wilmot_proviso', 0.05301666666666666), ('george_wallace', 0.05266666666666667), ('lewis_cass', 0.051910256410256414), ('seneca_falls_convention', 0.050833333333333335), ('taiping_rebellion', 0.037128822055137845), ('ghana', 0.035366666666666664), ('battle_of_trenton', 0.034689393939393944), ('konrad_adenauer', 0.03358333333333333), ('league_of_nations', 0.03333333333333333)]"
105161,"[('haymarket_affair', 0.10081111111111112), ('crimean_war', 0.07438786848072564), ('treaty_of_tordesillas', 0.06893181818181819), ('margaret_sanger', 0.051000000000000004), ('greenback_party', 0.051000000000000004), ('civilian_conservation_corps', 0.050333333333333334), ('magna_carta', 0.05), ('treaty_of_waitangi', 0.04116666666666667), ('finland', 0.03791666666666667), ('maine', 0.035333333333333335), ('giuseppe_garibaldi', 0.035083333333333334)]"
105217,"[('ancient_corinth', 0.10025), (""coxey's_army"", 0.05075), ('tammany_hall', 0.05034358974358975), ('cardinal_mazarin', 0.05016666666666667), ('georges_clemenceau', 0.03403333333333333), ('margaret_sanger', 0.033666666666666664), ('huldrych_zwingli', 0.025416666666666667), ('benito_juarez', 0.0252), ('black_hawk_war', 0.014285714285714285), ('peterloo_massacre', 0.01303525641025641), ('cleisthenes', 0.002090909090909091)]"
105322,"[('muhammad', 0.10066666666666667), ('haymarket_affair', 0.06886422466422466), ('tecumseh', 0.05179646464646465), ('whiskey_rebellion', 0.05169716117216117), ('pancho_villa', 0.05102777777777778), ('roger_b._taney', 0.03673869047619047), ('jacquerie', 0.02775), ('louis_riel', 0.026484523809523812), ('mapp_v._ohio', 0.02129166666666667), ('caligula', 0.014), ('council_of_trent', 0.013208029878618115)]"
105728,"[('congress_of_berlin', 0.05386666666666667), ('napoleon_iii', 0.051666666666666666), ('alexander_h._stephens', 0.051500000000000004), ('edict_of_nantes', 0.0515), ('louis_riel', 0.051083333333333335), ('john_quincy_adams', 0.051000000000000004), ('atlantic_charter', 0.050666666666666665), ('council_of_trent', 0.04387042483660131), ('council_of_chalcedon', 0.03466666666666667), ('battle_of_lepanto', 0.033819047619047624), ('caroline_affair', 0.033666666666666664)]"
106316,"[('erie_canal', 0.10075), ('tammany_hall', 0.03593990683229814), ('tecumseh', 0.00345), ('babur', 0.0026666666666666666), ('alfred_the_great', 0.0025), ('henry_i_of_england', 0.0025), ('ulysses_s._grant', 0.0025), ('teutonic_knights', 0.002333333333333333), ('battle_of_the_thames', 0.002329166666666667), ('dorr_rebellion', 0.002033333333333333), ('byzantine_empire', 0.002)]"
107891,"[('justinian_i', 0.052500000000000005), ('byzantine_empire', 0.051500000000000004), ('william_jennings_bryan', 0.034333333333333334), ('gadsden_purchase', 0.03333333333333333), ('john_wilkes_booth', 0.0027500000000000003), ('babur', 0.0026666666666666666), ('mapp_v._ohio', 0.0025), ('second_vatican_council', 0.0025), (""st._bartholomew's_day_massacre"", 0.0023333333333333335), ('guelphs_and_ghibellines', 0.0022500000000000003), ('peace_of_westphalia', 0.0020833333333333333)]"
107954,"[('council_of_chalcedon', 0.20666666666666667), ('justinian_i', 0.16246666666666668), (""coxey's_army"", 0.10200000000000001), ('henry_i_of_england', 0.1005), ('treaty_of_tordesillas', 0.08161038961038962), ('taiping_rebellion', 0.0680666666666667), ('carthage', 0.03813333333333333), ('cleisthenes', 0.010208333333333335), ('canossa', 0.008), ('second_vatican_council', 0.0075), ('treaty_of_waitangi', 0.006083333333333334)]"
109088,"[('ghana', 0.06983333333333333), ('battle_of_plassey', 0.05053571428571429), ('tang_dynasty', 0.041216666666666665), ('ming_dynasty', 0.024536666666666672), ('parthian_empire', 0.006717553688141924), ('carthage', 0.0057750000000000015), ('chandragupta_maurya', 0.004916666666666668), ('taiping_rebellion', 0.00478914925654056), ('tammany_hall', 0.0046166666666666665), ('songhai_empire', 0.004493290043290044), ('roger_b._taney', 0.003866666666666667)]"
109781,"[('louis_riel', 0.05075), ('john_wilkes_booth', 0.05), ('league_of_nations', 0.05), ('long_march', 0.05), ('muhammad_ali_jinnah', 0.042), ('khmer_empire', 0.0380952380952381), (""bernardo_o'higgins"", 0.03333333333333333), ('shaka', 0.03333333333333333), ('tammany_hall', 0.03333333333333333), ('alexander_ii_of_russia', 0.03333333333333333), ('teutonic_knights', 0.03333333333333333)]"
