Question ID,Answer
102540,"[('james_monroe', 0.08184444444444448), ('mali_empire', 0.05068333333333334), ('girolamo_savonarola', 0.05053333333333333), ('aaron_burr', 0.04046666666666668), ('paris_commune', 0.03467619047619048), ('great_northern_war', 0.0343768115942029), ('george_washington', 0.03403333333333333), ('jacques_cartier', 0.03383333333333333), ('brigham_young', 0.033666666666666664), ('william_ewart_gladstone', 0.03358333333333333), ('david_lloyd_george', 0.03353333333333333), ('james_monroe', 0.18312222222222224), ('wilmot_proviso', 0.053000000000000005), ('alexander_h._stephens', 0.05145833333333334), ('mali_empire', 0.05079444444444445), ('girolamo_savonarola', 0.05053333333333333), ('henry_vii_of_england', 0.0505), ('battle_of_culloden', 0.05047619047619048), ('justinian_i', 0.05041666666666667), (""bernardo_o'higgins"", 0.05), ('aaron_burr', 0.04046666666666667), ('paris_commune', 0.03567619047619048), ('james_monroe', 0.1861888888888889), ('wilmot_proviso', 0.053450000000000004), ('alexander_h._stephens', 0.05245833333333334), ('justinian_i', 0.052166666666666674), (""bernardo_o'higgins"", 0.052000000000000005), ('henry_vii_of_england', 0.051833333333333335), ('girolamo_savonarola', 0.0512), ('mali_empire', 0.05091944444444445), ('battle_of_culloden', 0.05047619047619048), ('aaron_burr', 0.04196978021978023), ('paris_commune', 0.03709285714285715), ('james_monroe', 0.19358888888888892), ('wilmot_proviso', 0.053950000000000005), ('alexander_h._stephens', 0.053934523809523814), ('henry_vii_of_england', 0.053700000000000005), ('justinian_i', 0.053466666666666676), ('mali_empire', 0.052673412698412705), (""bernardo_o'higgins"", 0.052000000000000005), ('girolamo_savonarola', 0.051533333333333334), ('battle_of_culloden', 0.05122619047619048), ('aaron_burr', 0.0428459706959707), ('paris_commune', 0.03805119047619048), ('james_monroe', 0.19925555555555563), ('wilmot_proviso', 0.05595000000000001), ('henry_vii_of_england', 0.054700000000000006), ('alexander_h._stephens', 0.05424404761904762), ('justinian_i', 0.053466666666666676), ('mali_empire', 0.052923412698412706), ('girolamo_savonarola', 0.052533333333333335), ('battle_of_culloden', 0.05222619047619048), (""bernardo_o'higgins"", 0.052000000000000005), ('aaron_burr', 0.04304597069597071), ('george_washington', 0.03903333333333334)]"
102750,"[('treaty_of_tordesillas', 0.18098920523920523), ('whiskey_rebellion', 0.10356587301587304), ('benito_mussolini', 0.10172619047619048), ('magna_carta', 0.052500000000000005), ('margaret_sanger', 0.051666666666666666), ('greenback_party', 0.0512), ('civilian_conservation_corps', 0.051000000000000004), ('charlemagne', 0.037116666666666666), ('cyrus_the_great', 0.036583333333333336), ('pierre_trudeau', 0.036333333333333336), ('finland', 0.036083333333333335), ('treaty_of_tordesillas', 0.12405074370074375), ('whiskey_rebellion', 0.10247142857142857), ('benito_mussolini', 0.10083333333333334), ('charlemagne', 0.03571666666666667), ('second_vatican_council', 0.03333333333333333), ('battle_of_marathon', 0.026000000000000002), ('john_cabot', 0.025500000000000002), ('treaty_of_waitangi', 0.021461538461538466), ('crimean_war', 0.014848214285714286), ('vitus_bering', 0.007500000000000001), ('treaty_of_ghent', 0.004666666666666666), ('second_vatican_council', 0.03333333333333333), ('treaty_of_tordesillas', 0.02183846153846154), ('battle_of_agincourt', 0.0015), ('congress_of_vienna', 0.00125), ('tecumseh', 0.0012000000000000001), ('seminole_wars', 0.001142857142857143), ('william_tecumseh_sherman', 0.0011111111111111111), ('wounded_knee_massacre', 0.001), ('hartford_convention', 0.001), ('pierre_trudeau', 0.001), ('jacquerie', 0.001), ('treaty_of_tordesillas', 0.17811741036741036), ('whiskey_rebellion', 0.10311587301587304), ('benito_mussolini', 0.10097619047619048), ('magna_carta', 0.051000000000000004), ('margaret_sanger', 0.05066666666666667), ('civilian_conservation_corps', 0.0505), ('greenback_party', 0.0502), ('charlemagne', 0.036583333333333336), ('cyrus_the_great', 0.035833333333333335), ('pierre_trudeau', 0.034833333333333334), ('finland', 0.034833333333333334), ('whiskey_rebellion', 0.10247142857142857), ('benito_mussolini', 0.10083333333333334), ('treaty_of_tordesillas', 0.0730070818070818), ('second_vatican_council', 0.03333333333333333), ('oda_nobunaga', 0.002576923076923077), ('benjamin_harrison', 0.002533333333333333), ('jawaharlal_nehru', 0.0024333333333333334), ('david_livingstone', 0.0024000000000000002), ('chester_a._arthur', 0.0023333333333333335), ('treaty_of_ghent', 0.0023333333333333335), ('jamaica', 0.002266666666666667)]"
104435,"[('tammany_hall', 0.11279533146591973), ('grover_cleveland', 0.034166666666666665), ('mary_baker_eddy', 0.025783333333333335), ('eleanor_roosevelt', 0.02525), ('knights_of_labor', 0.005166666666666667), ('bonus_army', 0.0051444444444444445), ('david_livingstone', 0.00425), ('peace_of_westphalia', 0.0038666666666666667), ('hanseatic_league', 0.0037773809523809526), (""st._bartholomew's_day_massacre"", 0.0036666666666666666), ('henry_vii_of_england', 0.0036500000000000005), ('tammany_hall', 0.15184929971988795), ('grover_cleveland', 0.0357), ('clayton_antitrust_act', 0.027875000000000004), ('mary_baker_eddy', 0.026783333333333336), ('martin_van_buren', 0.026333333333333337), ('eleanor_roosevelt', 0.025666666666666667), ('david_livingstone', 0.005750000000000002), ('great_northern_war', 0.005501612232161432), ('knights_of_labor', 0.005416666666666667), ('bonus_army', 0.005366666666666667), ('peace_of_westphalia', 0.0052), ('tammany_hall', 0.046676190476190475), ('mary_baker_eddy', 0.02525), ('eleanor_roosevelt', 0.02525), ('bonus_army', 0.0025), ('knights_of_labor', 0.0023333333333333335), ('council_of_constance', 0.0021666666666666666), (""st._bartholomew's_day_massacre"", 0.0018333333333333333), ('council_of_trent', 0.0015), ('maria_theresa', 0.0015), ('david_livingstone', 0.0015), ('great_northern_war', 0.001340909090909091), ('tammany_hall', 0.03377936507936508), ('eleanor_roosevelt', 0.025), ('knights_of_labor', 0.001), ('bonus_army', 0.001), ('maximilien_de_robespierre', 0.0005), ('nikita_khrushchev', 0.0005), ('vitus_bering', 0.0005), ('jacques_cartier', 0.0005), ('john_cabot', 0.0003333333333333333), ('porfirio_diaz', 0.0003333333333333333), ('herbert_hoover', 0.0003333333333333333), ('tammany_hall', 0.08297152194211019), ('grover_cleveland', 0.034166666666666665), ('mary_baker_eddy', 0.025583333333333336), ('eleanor_roosevelt', 0.02525), ('bonus_army', 0.0037), ('knights_of_labor', 0.0033333333333333335), ('henry_vii_of_england', 0.0029000000000000002), ('peace_of_westphalia', 0.0028666666666666667), (""st._bartholomew's_day_massacre"", 0.0028333333333333335), ('great_northern_war', 0.002765151515151515), ('whiskey_ring', 0.0026666666666666666)]"
105545,"[('golden_horde', 0.08629455266955269), ('napoleon_iii', 0.052533333333333335), ('horace_greeley', 0.051750000000000004), ('atahualpa', 0.05118181818181818), ('tammany_hall', 0.0365268115942029), ('safavid_dynasty', 0.02658459595959596), ('bonus_army', 0.026266666666666664), ('carthage', 0.022533333333333336), ('finland', 0.00775), ('hittites', 0.006750000000000001), ('albany_congress', 0.005333333333333333), ('bonus_army', 0.026066666666666665), ('golden_horde', 0.02388174603174603), ('hittites', 0.004), ('finland', 0.0032500000000000003), ('hanseatic_league', 0.0031428571428571426), ('labour_party_(uk)', 0.003), ('john_brown_(abolitionist)', 0.003), ('william_henry_harrison', 0.003), ('david_lloyd_george', 0.0028333333333333335), ('taiping_rebellion', 0.0025643939393939393), ('battle_of_culloden', 0.0025333333333333336), ('golden_horde', 0.034178643578643586), ('bonus_army', 0.026266666666666664), ('finland', 0.00625), ('hittites', 0.006), ('hanseatic_league', 0.004142857142857143), ('john_brown_(abolitionist)', 0.004), ('william_henry_harrison', 0.0038333333333333336), ('david_lloyd_george', 0.0036666666666666666), ('taiping_rebellion', 0.0036553030303030304), ('henry_morton_stanley', 0.0035333333333333336), ('labour_party_(uk)', 0.0035), ('golden_horde', 0.09778621933621938), ('horace_greeley', 0.053750000000000006), ('napoleon_iii', 0.053366666666666666), ('atahualpa', 0.05188181818181818), ('tammany_hall', 0.036979813664596274), ('bonus_army', 0.02796111111111111), ('safavid_dynasty', 0.027473484848484848), ('carthage', 0.023866666666666668), ('finland', 0.009250000000000001), ('albany_congress', 0.008333333333333333), ('babur', 0.008033333333333333), ('bonus_army', 0.025333333333333336), ('golden_horde', 0.02123888888888889), ('taiping_rebellion', 0.0015492424242424243), ('hittites', 0.0015), ('labour_party_(uk)', 0.0015), ('william_walker_(filibuster)', 0.0015), ('battle_of_actium', 0.0014583333333333334), ('hyksos', 0.0011111111111111111), ('songhai_empire', 0.001090909090909091), ('adolf_hitler', 0.0010625), ('marcus_licinius_crassus', 0.0010344827586206897)]"
106485,"[('crimean_war', 0.08395579212454211), ('battle_of_shiloh', 0.0750027777777778), ('battle_of_plassey', 0.05300119047619048), ('battle_of_marathon', 0.052500000000000005), ('battle_of_culloden', 0.052050000000000006), ('battle_of_the_thames', 0.051371003016591255), ('maine', 0.050973611111111115), (""coxey's_army"", 0.0507), ('salvador_allende', 0.04030000000000001), ('tecumseh', 0.03645), ('salmon_p._chase', 0.034166666666666665), ('battle_of_shiloh', 0.11269722222222224), ('crimean_war', 0.08418572409733123), ('battle_of_plassey', 0.05425119047619049), ('battle_of_culloden', 0.05346666666666667), ('battle_of_marathon', 0.053000000000000005), ('guadalcanal', 0.052333333333333336), ('battle_of_the_thames', 0.052029336349924585), ('maine', 0.051890277777777785), (""coxey's_army"", 0.0507), ('salvador_allende', 0.04046666666666667), ('tecumseh', 0.03704090909090909), ('crimean_war', 0.08416531593406594), ('battle_of_shiloh', 0.07736388888888891), ('battle_of_plassey', 0.05400119047619048), ('battle_of_marathon', 0.053000000000000005), ('battle_of_culloden', 0.05271666666666667), ('battle_of_the_thames', 0.051904336349924585), ('maine', 0.051473611111111116), (""coxey's_army"", 0.0507), ('salvador_allende', 0.04046666666666667), ('tecumseh', 0.03695), ('salmon_p._chase', 0.034166666666666665), ('battle_of_shiloh', 0.11415555555555552), ('crimean_war', 0.08468572409733123), ('battle_of_plassey', 0.05441785714285716), ('battle_of_culloden', 0.0538), ('battle_of_marathon', 0.053500000000000006), ('battle_of_the_thames', 0.052529336349924585), ('guadalcanal', 0.052333333333333336), ('maine', 0.05189027777777778), (""coxey's_army"", 0.0507), ('salvador_allende', 0.04046666666666667), ('tecumseh', 0.03704090909090909), ('battle_of_shiloh', 0.05329166666666671), ('crimean_war', 0.05033125), (""coxey's_army"", 0.0502), ('salvador_allende', 0.04000000000000001), ('tecumseh', 0.036), ('george_h._pendleton', 0.03333333333333333), ('salmon_p._chase', 0.03333333333333333), ('william_tecumseh_sherman', 0.026333333333333334), ('lewis_cass', 0.017116666666666665), ('whiskey_rebellion', 0.0039055555555555558), ('charles_martel', 0.0025), ('battle_of_shiloh', 0.12448888888888891), ('crimean_war', 0.0858727989272632), ('battle_of_plassey', 0.05687619047619048), ('battle_of_culloden', 0.0548), ('battle_of_marathon', 0.053750000000000006), ('battle_of_the_thames', 0.053529336349924586), ('guadalcanal', 0.05266666666666667), ('maine', 0.05239027777777778), (""coxey's_army"", 0.0507), ('salvador_allende', 0.04096666666666667), ('tecumseh', 0.03779090909090909)]"
107530,"[('battle_of_plassey', 0.12257500000000005), ('akbar', 0.05358333333333334), ('mapp_v._ohio', 0.05341666666666667), ('ghana', 0.037351190476190475), ('black_hole_of_calcutta', 0.025133333333333337), ('treaty_of_waitangi', 0.00661025641025641), ('peterloo_massacre', 0.006493589743589745), ('battle_of_agincourt', 0.0061666666666666675), ('taiping_rebellion', 0.005792857142857143), ('jacquerie', 0.005792857142857143), ('battle_of_caporetto', 0.005766666666666667), ('battle_of_plassey', 0.055950000000000014), ('mapp_v._ohio', 0.05316666666666667), ('ghana', 0.03451785714285714), ('jacquerie', 0.003642857142857143), ('songhai_empire', 0.0032833333333333334), ('battle_of_the_thames', 0.003270833333333333), ('greenback_party', 0.0032), ('alexander_h._stephens', 0.0031583333333333337), ('edict_of_nantes', 0.0030833333333333333), ('jacques_cartier', 0.0030833333333333333), ('girolamo_savonarola', 0.003033333333333333), ('mapp_v._ohio', 0.05216666666666667), ('battle_of_plassey', 0.052000000000000005), ('ghana', 0.034375), ('greenback_party', 0.003), ('songhai_empire', 0.0029500000000000004), ('jacquerie', 0.002642857142857143), ('peterloo_massacre', 0.0025), ('battle_of_caporetto', 0.0025), ('tang_dynasty', 0.0025), ('alfred_the_great', 0.0025), ('alexander_h._stephens', 0.0023666666666666667), ('battle_of_plassey', 0.11111666666666668), ('mapp_v._ohio', 0.05316666666666667), ('akbar', 0.051833333333333335), ('ghana', 0.035601190476190474), ('black_hole_of_calcutta', 0.02253333333333334), ('peterloo_massacre', 0.005993589743589743), ('jacquerie', 0.005042857142857143), ('alexander_h._stephens', 0.004525), ('taiping_rebellion', 0.004459523809523809), ('teutonic_knights', 0.004376190476190477), ('battle_of_caporetto', 0.004233333333333334)]"
107760,"[('jacquerie', 0.3233357142857142), ('congress_of_vienna', 0.10261111111111113), ('july_revolution', 0.07342222222222222), ('john_quincy_adams', 0.0695190476190476), ('battle_of_caporetto', 0.05616666666666667), ('charles_de_gaulle', 0.055491666666666675), ('charles_martel', 0.05364285714285715), ('adolf_hitler', 0.053626923076923086), ('henry_clay', 0.053066666666666665), ('jawaharlal_nehru', 0.052826190476190485), ('hanseatic_league', 0.05255119047619048), ('jacquerie', 0.0018611111111111111), (""st._bartholomew's_day_massacre"", 0.0013333333333333333), ('gadsden_purchase', 0.001), ('council_of_constance', 0.0008333333333333333), ('battle_of_gettysburg', 0.0005), ('maximilien_de_robespierre', 0.0005), ('erie_canal', 0.0005), ('nikita_khrushchev', 0.0005), ('vitus_bering', 0.0005), ('jacques_cartier', 0.0005), ('john_cabot', 0.0003333333333333333), ('jacquerie', 0.10467222222222224), ('july_revolution', 0.06718518518518518), ('john_quincy_adams', 0.06686666666666667), ('congress_of_vienna', 0.05075), ('jawaharlal_nehru', 0.05064285714285714), ('henry_clay', 0.050125), ('trent_affair', 0.041642857142857155), ('alexander_kerensky', 0.026000000000000002), (""st._bartholomew's_day_massacre"", 0.0023333333333333335), ('ulysses_s._grant', 0.0018333333333333333), ('thaddeus_stevens', 0.0018333333333333333), ('jacquerie', 0.31676666666666664), ('congress_of_vienna', 0.10261111111111113), ('july_revolution', 0.07025555555555557), ('john_quincy_adams', 0.06885238095238094), ('charles_de_gaulle', 0.05324166666666667), ('battle_of_caporetto', 0.05316666666666667), ('adolf_hitler', 0.052626923076923085), ('jawaharlal_nehru', 0.05207619047619048), ('hanseatic_league', 0.05171785714285715), ('congress_of_berlin', 0.051408823529411764), ('henry_clay', 0.0514)]"
109300,"[('golden_horde', 0.1640175324675325), ('battle_of_culloden', 0.08052341269841272), ('hanseatic_league', 0.070025), ('oda_nobunaga', 0.06125311355311356), ('parthian_empire', 0.05420339366515838), ('whiskey_rebellion', 0.05369801587301588), ('peterloo_massacre', 0.05352692307692308), ('songhai_empire', 0.053422727272727275), ('battle_of_hastings', 0.053250000000000006), ('muhammad_ali_jinnah', 0.053073841844430085), ('henry_l._stimson', 0.05291666666666667), ('golden_horde', 0.09977265512265515), ('battle_of_culloden', 0.07876785714285717), ('hanseatic_league', 0.06927500000000002), ('oda_nobunaga', 0.05975311355311356), ('parthian_empire', 0.05228672699849171), ('battle_of_hastings', 0.052250000000000005), ('whiskey_rebellion', 0.0517718253968254), ('peterloo_massacre', 0.05161025641025641), ('songhai_empire', 0.051472727272727274), ('muhammad_ali_jinnah', 0.05124050851109675), ('henry_l._stimson', 0.051083333333333335), ('golden_horde', 0.1579841991341992), ('battle_of_culloden', 0.07952341269841272), ('hanseatic_league', 0.069775), ('oda_nobunaga', 0.06075311355311356), ('parthian_empire', 0.05320339366515838), ('whiskey_rebellion', 0.053114682539682545), ('songhai_empire', 0.052722727272727275), ('muhammad_ali_jinnah', 0.052573841844430085), ('henry_l._stimson', 0.05241666666666667), ('peterloo_massacre', 0.05236025641025641), ('battle_of_hastings', 0.052250000000000005), ('battle_of_hastings', 0.051250000000000004), ('whiskey_rebellion', 0.05087896825396825), ('parthian_empire', 0.050835746606334845), ('muhammad_ali_jinnah', 0.050819047619047625), ('henry_l._stimson', 0.050583333333333334), ('george_wallace', 0.050333333333333334), ('finland', 0.034583333333333334), ('jacquerie', 0.0345), ('wounded_knee_massacre', 0.034333333333333334), ('battle_of_lepanto', 0.03430952380952381), ('hanseatic_league', 0.03415833333333333), ('golden_horde', 0.1524841991341992), ('battle_of_culloden', 0.07902341269841272), ('hanseatic_league', 0.069775), ('oda_nobunaga', 0.06075311355311356), ('parthian_empire', 0.05295339366515838), ('songhai_empire', 0.052472727272727275), ('whiskey_rebellion', 0.052414682539682546), ('peterloo_massacre', 0.05236025641025641), ('battle_of_hastings', 0.052250000000000005), ('muhammad_ali_jinnah', 0.05224050851109675), ('henry_l._stimson', 0.051416666666666666)]"
109730,"[('benito_juarez', 0.01863095238095238), ('pancho_villa', 0.003342857142857143), ('albany_congress', 0.0030000000000000005), ('jefferson_davis', 0.002333333333333333), ('mikhail_gorbachev', 0.002333333333333333), ('jawaharlal_nehru', 0.0022944444444444444), ('tammany_hall', 0.0022833333333333334), ('babur', 0.0022), ('spiro_agnew', 0.002), ('wilmot_proviso', 0.002), ('william_walker_(filibuster)', 0.002), ('benito_juarez', 0.246347619047619), ('parthian_empire', 0.10322549019607843), ('battle_of_trenton', 0.10253030303030303), ('benjamin_disraeli', 0.06841666666666667), ('carthage', 0.04319285714285715), ('martin_van_buren', 0.0374095238095238), ('huldrych_zwingli', 0.036444444444444446), ('crimean_war', 0.027195986156700446), ('first_crusade', 0.025), ('babur', 0.005366666666666666), ('hanseatic_league', 0.0051333333333333335), ('benito_juarez', 0.13889761904761902), ('benjamin_disraeli', 0.06808333333333333), ('carthage', 0.042016666666666674), ('martin_van_buren', 0.03626666666666667), ('huldrych_zwingli', 0.035333333333333335), ('first_crusade', 0.025), ('pancho_villa', 0.004342857142857143), ('tammany_hall', 0.004083333333333333), ('babur', 0.003533333333333333), ('mikhail_gorbachev', 0.003333333333333333), ('jawaharlal_nehru', 0.003144444444444444), ('benito_juarez', 0.249847619047619), ('parthian_empire', 0.10387933634992459), ('battle_of_trenton', 0.10289538239538239), ('benjamin_disraeli', 0.06875), ('carthage', 0.044092857142857156), ('martin_van_buren', 0.037742857142857134), ('huldrych_zwingli', 0.03766666666666667), ('crimean_war', 0.02756265282336711), ('first_crusade', 0.026000000000000002), ('babur', 0.007866666666666668), ('guelphs_and_ghibellines', 0.00645)]"
109785,"[('battle_of_trenton', 0.23688746012759174), ('peloponnesian_war', 0.10283333333333333), ('manifest_destiny', 0.1005), ('wilmot_proviso', 0.05611904761904763), ('cleisthenes', 0.05413578643578644), ('jawaharlal_nehru', 0.0517), ('great_northern_war', 0.0382376511932004), ('verdun', 0.036333333333333336), ('suez_crisis', 0.036), ('bay_of_pigs_invasion', 0.035944444444444446), ('peace_of_westphalia', 0.030016666666666664), ('battle_of_trenton', 0.02626854066985646), ('pancho_villa', 0.002), ('mapp_v._ohio', 0.002), ('peterloo_massacre', 0.0015333333333333334), ('magna_carta', 0.0015), ('henry_morton_stanley', 0.0011666666666666665), ('zebulon_pike', 0.0011666666666666665), ('trent_affair', 0.0011250000000000001), ('henry_hudson', 0.001), ('council_of_trent', 0.001), ('attila', 0.001), ('battle_of_trenton', 0.23238626965140116), ('peloponnesian_war', 0.10149999999999999), ('manifest_destiny', 0.1005), ('wilmot_proviso', 0.055642857142857154), ('cleisthenes', 0.053378210678210684), ('jawaharlal_nehru', 0.0511), ('great_northern_war', 0.036235839598997496), ('bay_of_pigs_invasion', 0.034333333333333334), ('verdun', 0.03383333333333333), ('suez_crisis', 0.033666666666666664), ('martin_van_buren', 0.02741666666666667), ('battle_of_trenton', 0.03006183071314651), ('peterloo_massacre', 0.002866666666666667), ('magna_carta', 0.0028333333333333335), ('pancho_villa', 0.0025333333333333336), ('battle_of_lepanto', 0.002333333333333333), ('giuseppe_garibaldi', 0.002333333333333333), ('ghana', 0.0022833333333333334), ('darius_i', 0.0022714285714285714), ('cleisthenes', 0.002202020202020202), ('henry_morton_stanley', 0.0021666666666666666), ('shaka', 0.0021666666666666666)]"
