Question ID,Answer
10195,"[('paramagnetism', 0.033666666666666664), ('cherenkov_radiation', 0.0016666666666666666), ('moment_of_inertia', 0.00125), ('chlorophyll_a', 0.001), ('spin_(physics)', 0.001), ('arrhenius_equation', 0.001), ('ester', 0.001), ('hall_effect', 0.00075), ('angular_momentum', 0.0006666666666666666), ('apoptosis', 0.0005), ('zeeman_effect', 0.00041025641025641023), ('paramagnetism', 0.033666666666666664), ('neutrino', 0.03333333333333333), ('cherenkov_radiation', 0.0016666666666666666), ('moment_of_inertia', 0.00145), ('chlorophyll_a', 0.0013333333333333333), ('angular_momentum', 0.0011666666666666665), ('spin_(physics)', 0.001), ('arrhenius_equation', 0.001), ('ester', 0.001), ('hall_effect', 0.00075), ('apoptosis', 0.0005), ('paramagnetism', 0.033666666666666664), ('neutrino', 0.03333333333333333), ('cherenkov_radiation', 0.0026666666666666666), ('moment_of_inertia', 0.0019500000000000001), ('brownian_motion', 0.0015), ('chlorophyll_a', 0.0013333333333333333), ('satyendra_nath_bose', 0.00125), ('piezoelectricity', 0.0012000000000000001), ('angular_momentum', 0.0011666666666666665), ('corpus_callosum', 0.001), ('histone', 0.001)]"
10475,"[('pauli_exclusion_principle', 0.001), ('cartilage', 0.0006666666666666666), ('antibody', 0.0005333333333333334), ('histone', 0.0005), ('bose-einstein_condensate', 0.0005), ('dark_matter', 0.0005), ('diffraction', 0.0005), ('raman_scattering', 0.00025), ('birefringence', 0.0002), ('power_(physics)', 0), ('vorticity', 0.0), ('pauli_exclusion_principle', 0.001), ('anthrax', 0.001), ('antibody', 0.0007), ('cartilage', 0.0006666666666666666), ('raman_scattering', 0.0005833333333333333), ('electron_transport_chain', 0.0005), ('glycolysis', 0.0005), ('histone', 0.0005), ('bose-einstein_condensate', 0.0005), ('fugacity', 0.0005), ('hydrazine', 0.0005), ('zeeman_effect', 0.02595), ('surface_tension', 0.002), ('fugacity', 0.0014166666666666666), ('pauli_exclusion_principle', 0.001), ('anthrax', 0.001), ('colligative_properties', 0.001), ('raman_scattering', 0.0009166666666666665), ('bose-einstein_condensate', 0.00075), ('piezoelectricity', 0.0007), ('antibody', 0.0007), ('cherenkov_radiation', 0.0006666666666666666), ('zeeman_effect', 0.02595), ('fugacity', 0.002416666666666667), ('raman_scattering', 0.002416666666666667), ('surface_tension', 0.002), ('birefringence', 0.0016000000000000003), ('piezoelectricity', 0.0012000000000000001), ('electronegativity', 0.001), ('amine', 0.001), ('pauli_exclusion_principle', 0.001), ('anthrax', 0.001), ('colligative_properties', 0.001), ('zeeman_effect', 0.02695), ('raman_scattering', 0.008249999999999999), ('gibbs_free_energy', 0.003), ('ferromagnetism', 0.0025000000000000005), ('beta_decay', 0.0025), ('fugacity', 0.002416666666666667), ('infrared_spectroscopy', 0.0022), ('pauli_exclusion_principle', 0.002), ('ketone', 0.002), ('surface_tension', 0.002), ('wittig_reaction', 0.0016666666666666666)]"
104905,"[('arrhenius_equation', 0.00445), ('equilibrium_constant', 0.0013333333333333333), ('nernst_equation', 0.0013333333333333333), ('brownian_motion', 0.001), ('electronegativity', 0.0009166666666666665), ('gibbs_free_energy', 0.0008655913978494623), ('paramagnetism', 0.0006666666666666666), ('zeeman_effect', 0.0006666666666666666), ('vapor_pressure', 0.0005833333333333334), ('entropy', 0.0005416666666666666), ('raman_scattering', 0.0005), ('arrhenius_equation', 0.00445), ('spin_(physics)', 0.0016666666666666666), ('equilibrium_constant', 0.0016666666666666666), ('nernst_equation', 0.0013333333333333333), ('electronegativity', 0.0011666666666666665), ('brownian_motion', 0.001), ('surface_tension', 0.001), ('chemical_potential', 0.001), ('gibbs_free_energy', 0.0008978494623655914), ('vapor_pressure', 0.0008888888888888888), ('moment_of_inertia', 0.0006869565217391305), ('gibbs_free_energy', 0.026624039938556072), ('fugacity', 0.021599999999999998), ('turbulence', 0.020000000000000004), ('arrhenius_equation', 0.00545), ('equilibrium_constant', 0.0026666666666666666), ('spin_(physics)', 0.0019166666666666666), ('entropy', 0.0018261904761904763), ('electronegativity', 0.0016666666666666666), ('nernst_equation', 0.0016666666666666666), ('helmholtz_free_energy', 0.0015984848484848484), ('vapor_pressure', 0.0015555555555555555), ('gibbs_free_energy', 0.027906298003072202), ('fugacity', 0.022299999999999997), ('turbulence', 0.020200000000000003), ('arrhenius_equation', 0.008450000000000001), ('entropy', 0.003367857142857143), ('vapor_pressure', 0.003205555555555556), ('equilibrium_constant', 0.003), ('chemical_potential', 0.002833333333333333), ('surface_tension', 0.0023333333333333335), ('helmholtz_free_energy', 0.002272727272727273), ('spin_(physics)', 0.0022500000000000003)]"
10505,"[('anthrax', 0.001), ('electron_transport_chain', 0.0008333333333333333), ('fugacity', 0.0008333333333333333), ('hydrazine', 0.00075), ('hall_effect', 0.0006666666666666666), ('capacitor', 0.0006666666666666666), ('raman_scattering', 0.0006666666666666666), ('lithium', 0.0006666666666666666), ('entropy', 0.0005), ('wittig_reaction', 0.0005), ('glycolysis', 0.0005), ('pancreas', 0.020500000000000004), ('apoptosis', 0.0022500000000000003), ('zeeman_effect', 0.0021697802197802197), ('bose-einstein_condensate', 0.002), ('hall_effect', 0.0013333333333333333), ('phloem', 0.0013333333333333333), ('anthrax', 0.0013333333333333333), ('sulfuric_acid', 0.0012651515151515151), ('entropy', 0.0012000000000000001), ('fugacity', 0.0010833333333333333), ('birefringence', 0.0010666666666666667), ('pancreas', 0.020500000000000004), ('capacitance', 0.014285714285714285), ('zeeman_effect', 0.00278003663003663), ('apoptosis', 0.0022500000000000003), ('bose-einstein_condensate', 0.002), ('capacitor', 0.002), ('hall_effect', 0.0019166666666666663), ('wittig_reaction', 0.0013333333333333333), ('phloem', 0.0013333333333333333), ('anthrax', 0.0013333333333333333), ('raman_scattering', 0.0013095238095238095), ('capacitance', 0.04786904761904762), ('higgs_boson', 0.034083333333333334), ('pancreas', 0.020500000000000004), ('zeeman_effect', 0.0028911477411477414), ('doppler_effect', 0.002333333333333333), ('apoptosis', 0.0022500000000000003), ('bose-einstein_condensate', 0.002), ('capacitor', 0.002), ('hall_effect', 0.0019166666666666663), ('raman_scattering', 0.0018428571428571428), ('wittig_reaction', 0.0013333333333333333)]"
10530,"[('heat_capacity', 0.001), ('birefringence', 0.001), ('vapor_pressure', 0.001), ('paramagnetism', 0.001), ('hall_effect', 0.0005), ('entropy', 0.0003333333333333333), ('angular_momentum', 0.0003333333333333333), ('sulfuric_acid', 0.00025), ('power_(physics)', 0), ('vorticity', 0), ('liquid_crystal', 0), ('liquid_crystal', 0.03333333333333333), ('heat_capacity', 0.001), ('dark_matter', 0.001), ('birefringence', 0.001), ('vapor_pressure', 0.001), ('paramagnetism', 0.001), ('hall_effect', 0.0005), ('zeeman_effect', 0.0005), ('entropy', 0.0003333333333333333), ('electronegativity', 0.0003333333333333333), ('angular_momentum', 0.0003333333333333333), ('liquid_crystal', 0.034333333333333334), ('vapor_pressure', 0.0012000000000000001), ('heat_capacity', 0.001), ('dark_matter', 0.001), ('birefringence', 0.001), ('paramagnetism', 0.001), ('transfer_rna', 0.0005333333333333334), ('hall_effect', 0.0005), ('capacitor', 0.0005), ('zeeman_effect', 0.0005), ('entropy', 0.0003333333333333333), ('liquid_crystal', 0.034333333333333334), ('vapor_pressure', 0.0012000000000000001), ('paramagnetism', 0.0011), ('heat_capacity', 0.001), ('magnetic_monopole', 0.001), ('dark_matter', 0.001), ('birefringence', 0.001), ('redshift', 0.001), ('spleen', 0.001), ('electronegativity', 0.0008333333333333333), ('hall_effect', 0.0008333333333333333), ('liquid_crystal', 0.034333333333333334), ('paramagnetism', 0.0016), ('vapor_pressure', 0.0012000000000000001), ('heat_capacity', 0.001), ('magnetic_monopole', 0.001), ('dark_matter', 0.001), ('birefringence', 0.001), ('redshift', 0.001), ('spleen', 0.001), ('ferromagnetism', 0.0008333333333333333), ('electronegativity', 0.0008333333333333333), ('liquid_crystal', 0.034333333333333334), ('antibody', 0.020000000000000004), ('ferromagnetism', 0.0038333333333333336), ('bose-einstein_condensate', 0.0022), ('paramagnetism', 0.0021000000000000003), ('redshift', 0.0013333333333333333), ('dark_matter', 0.00125), ('birefringence', 0.0012000000000000001), ('vapor_pressure', 0.0012000000000000001), ('hall_effect', 0.0011666666666666665), ('raman_scattering', 0.001142857142857143)]"
10635,"[('dark_matter', 0.001), ('bose-einstein_condensate', 0.0003333333333333333), ('cellulose', 0.0003333333333333333), ('dopamine', 0.00025), ('abscisic_acid', 0.00025), ('peptidoglycan', 0.00025), ('sulfuric_acid', 0.00025), ('hemoglobin', 0.0001), ('power_(physics)', 0), ('vorticity', 0), ('liquid_crystal', 0), ('raman_scattering', 0.025), ('moment_of_inertia', 0.025), ('anthrax', 0.002), ('glycolysis', 0.001), ('dark_matter', 0.001), ('neutrino', 0.0005), ('paramagnetism', 0.0005), ('bose-einstein_condensate', 0.0003333333333333333), ('birefringence', 0.0003333333333333333), ('cellulose', 0.0003333333333333333), ('neutron', 0.0003333333333333333), ('raman_scattering', 0.025333333333333336), ('hemoglobin', 0.0252), ('moment_of_inertia', 0.025), ('bose-einstein_condensate', 0.013833333333333333), ('anthrax', 0.0025), ('dark_matter', 0.002), ('glycolysis', 0.001), ('sulfuric_acid', 0.000875), ('cellulose', 0.0006666666666666666), ('dopamine', 0.0005), ('wittig_reaction', 0.0005), ('hemoglobin', 0.05030000000000001), ('raman_scattering', 0.025333333333333336), ('moment_of_inertia', 0.025), ('cyclohexane', 0.020000000000000004), ('bose-einstein_condensate', 0.019416666666666676), ('dark_matter', 0.003), ('anthrax', 0.0025), ('pauli_exclusion_principle', 0.0015), ('sulfuric_acid', 0.0011250000000000001), ('glycolysis', 0.001), ('histone', 0.001), ('hemoglobin', 0.05030000000000001), ('raman_scattering', 0.025333333333333336), ('moment_of_inertia', 0.025), ('bose-einstein_condensate', 0.021166666666666677), ('cyclohexane', 0.020000000000000004), ('dark_matter', 0.004), ('anthrax', 0.0025), ('zeeman_effect', 0.002), ('pauli_exclusion_principle', 0.0015), ('sulfuric_acid', 0.0011250000000000001), ('glycolysis', 0.001)]"
10650,"[('zeeman_effect', 0.0012000000000000001), ('birefringence', 0.001), ('antibody', 0.001), ('ether', 0.001), ('vorticity', 0.0005), ('wittig_reaction', 0.0005), ('ester', 0.0005), ('diffraction', 0.0005), ('glycolysis', 0.0003333333333333333), ('hall_effect', 0.0003333333333333333), ('diffusion', 0.0003333333333333333), ('zeeman_effect', 0.0015928571428571428), ('birefringence', 0.0013333333333333333), ('hall_effect', 0.0012499999999999998), ('magnetic_monopole', 0.001), ('insulin', 0.001), ('antibody', 0.001), ('ether', 0.001), ('wittig_reaction', 0.0008333333333333333), ('titration', 0.0006666666666666666), ('vorticity', 0.0006111111111111111), ('friction', 0.0006000000000000001), ('raman_scattering', 0.0343), ('zeeman_effect', 0.0015928571428571428), ('birefringence', 0.0013333333333333333), ('insulin', 0.00125), ('hall_effect', 0.0012499999999999998), ('magnetic_monopole', 0.001), ('antibody', 0.001), ('ether', 0.001), ('wittig_reaction', 0.0008333333333333333), ('titration', 0.0006666666666666666), ('vorticity', 0.0006111111111111111), ('raman_scattering', 0.0373), ('birefringence', 0.002333333333333333), ('zeeman_effect', 0.0015928571428571428), ('spin_(physics)', 0.0014761904761904762), ('insulin', 0.00125), ('antibody', 0.00125), ('hall_effect', 0.0012499999999999998), ('magnetic_monopole', 0.001), ('ether', 0.001), ('pauli_exclusion_principle', 0.001), ('angular_momentum', 0.0008666666666666666), ('raman_scattering', 0.04463333333333333), ('infrared_spectroscopy', 0.004200000000000001), ('gibbs_free_energy', 0.004), ('ferromagnetism', 0.0035833333333333333), ('beta_decay', 0.0035), ('zeeman_effect', 0.003092857142857143), ('ketone', 0.003), ('bacteriophage', 0.0025), ('wittig_reaction', 0.002333333333333333), ('birefringence', 0.002333333333333333), ('hall_effect', 0.00225)]"
106870,"[('pauli_exclusion_principle', 0.025), ('heat_capacity', 0.0017000000000000001), ('entropy', 0.001125), ('adenosine_triphosphate', 0.001), ('electron_transport_chain', 0.001), ('hall_effect', 0.001), ('nernst_equation', 0.001), ('raman_scattering', 0.0007), ('spin_(physics)', 0.0006666666666666666), ('vapor_pressure', 0.0006666666666666666), ('zeeman_effect', 0.0006666666666666666), ('diffraction', 0.05), ('pauli_exclusion_principle', 0.025), ('nernst_equation', 0.002), ('heat_capacity', 0.0019), ('spin_(physics)', 0.0013333333333333333), ('entropy', 0.0011666666666666665), ('adenosine_triphosphate', 0.001), ('electron_transport_chain', 0.001), ('niels_bohr', 0.001), ('hall_effect', 0.001), ('vapor_pressure', 0.001), ('diffraction', 0.05), ('pauli_exclusion_principle', 0.025), ('nernst_equation', 0.002), ('heat_capacity', 0.0019), ('spin_(physics)', 0.0013333333333333333), ('entropy', 0.0011666666666666665), ('adenosine_triphosphate', 0.001), ('electron_transport_chain', 0.001), ('niels_bohr', 0.001), ('hall_effect', 0.001), ('vapor_pressure', 0.001), ('diffraction', 0.05), ('pauli_exclusion_principle', 0.025500000000000002), ('nernst_equation', 0.003333333333333333), ('helmholtz_free_energy', 0.003181818181818182), ('angular_momentum', 0.0022575757575757577), ('capacitance', 0.0021666666666666666), ('entropy', 0.0021), ('moment_of_inertia', 0.001953623188405797), ('vapor_pressure', 0.0019166666666666666), ('heat_capacity', 0.0019), ('diffusion', 0.0015), ('diffraction', 0.05), ('fugacity', 0.03457777777777779), ('pauli_exclusion_principle', 0.025500000000000002), ('nernst_equation', 0.003333333333333333), ('helmholtz_free_energy', 0.0032727272727272726), ('electronegativity', 0.0023333333333333335), ('angular_momentum', 0.0023030303030303033), ('capacitance', 0.002291666666666667), ('paramagnetism', 0.0021666666666666666), ('zeeman_effect', 0.0021666666666666666), ('entropy', 0.0021416666666666663)]"
108540,"[('ester', 0.0005), ('power_(physics)', 0), ('vorticity', 0), ('liquid_crystal', 0), ('glycine', 0), ('lysosome', 0), ('heat_capacity', 0), ('friction', 0), ('magnetic_monopole', 0), ('entropy', 0), ('dopamine', 0), ('moment_of_inertia', 0.002), ('angular_momentum', 0.00125), ('torque', 0.001142857142857143), ('vorticity', 0.0005), ('gibbs_free_energy', 0.0005), ('ester', 0.0005), ('power_(physics)', 0.0003333333333333333), ('helmholtz_free_energy', 0.0003333333333333333), ('turbulence', 0.0002), ('liquid_crystal', 0), ('glycine', 0), ('diffusion', 0.025), ('torque', 0.0032337662337662337), ('moment_of_inertia', 0.0025), ('vorticity', 0.002333333333333333), ('angular_momentum', 0.0022595238095238094), ('helmholtz_free_energy', 0.0014583333333333334), ('hall_effect', 0.001), ('power_(physics)', 0.0008333333333333333), ('spin_(physics)', 0.0008333333333333333), ('vapor_pressure', 0.0005833333333333333), ('zeeman_effect', 0.0005833333333333333), ('diffusion', 0.025), ('moment_of_inertia', 0.004642857142857143), ('torque', 0.0038766233766233766), ('angular_momentum', 0.003426190476190476), ('vorticity', 0.0029999999999999996), ('helmholtz_free_energy', 0.0024583333333333336), ('hall_effect', 0.00125), ('power_(physics)', 0.0011666666666666665), ('equilibrium_constant', 0.001), ('zeeman_effect', 0.0009166666666666665), ('spin_(physics)', 0.0008333333333333333), ('diffusion', 0.025), ('moment_of_inertia', 0.0057857142857142855), ('torque', 0.005376623376623375), ('angular_momentum', 0.0035928571428571424), ('helmholtz_free_energy', 0.0034583333333333337), ('vorticity', 0.0029999999999999996), ('equilibrium_constant', 0.002), ('spin_(physics)', 0.0018333333333333333), ('hall_effect', 0.0015), ('zeeman_effect', 0.0013928571428571427), ('power_(physics)', 0.0013333333333333333), ('diffusion', 0.025), ('moment_of_inertia', 0.007452380952380952), ('torque', 0.007300865800865803), ('helmholtz_free_energy', 0.004458333333333333), ('angular_momentum', 0.004069047619047619), ('vorticity', 0.0029999999999999996), ('zeeman_effect', 0.0022261904761904762), ('hall_effect', 0.002), ('equilibrium_constant', 0.002), ('surface_tension', 0.002), ('spin_(physics)', 0.0018333333333333333)]"
108555,"[('chlorophyll_a', 0.025), ('beta_decay', 0.001), ('infrared_spectroscopy', 0.001), ('ferromagnetism', 0.001), ('bacteriophage', 0.001), ('gibbs_free_energy', 0.001), ('raman_scattering', 0.001), ('phloem', 0.001), ('ketone', 0.001), ('fermentation', 0.001), ('wittig_reaction', 0.0005), ('chlorophyll_a', 0.025), ('neutron', 0.025), ('raman_scattering', 0.00175), ('beta_decay', 0.001), ('infrared_spectroscopy', 0.001), ('ferromagnetism', 0.001), ('bacteriophage', 0.001), ('gibbs_free_energy', 0.001), ('phloem', 0.001), ('pauli_exclusion_principle', 0.001), ('ketone', 0.001), ('chlorophyll_a', 0.025), ('neutron', 0.025), ('raman_scattering', 0.00175), ('beta_decay', 0.001), ('infrared_spectroscopy', 0.001), ('ferromagnetism', 0.001), ('bacteriophage', 0.001), ('gibbs_free_energy', 0.001), ('phloem', 0.001), ('pauli_exclusion_principle', 0.001), ('ketone', 0.001), ('chlorophyll_a', 0.025), ('neutron', 0.025), ('liquid_crystal', 0.0018333333333333333), ('raman_scattering', 0.00175), ('beta_decay', 0.001), ('infrared_spectroscopy', 0.001), ('ferromagnetism', 0.001), ('bacteriophage', 0.001), ('atp_synthase', 0.001), ('gibbs_free_energy', 0.001), ('phloem', 0.001), ('chlorophyll_a', 0.025), ('neutron', 0.025), ('liquid_crystal', 0.0038333333333333336), ('raman_scattering', 0.0020833333333333333), ('bacteriophage', 0.002), ('antibody', 0.0015333333333333334), ('histone', 0.0012000000000000001), ('beta_decay', 0.001), ('cherenkov_radiation', 0.001), ('infrared_spectroscopy', 0.001), ('chloroplast', 0.001)]"
