Question ID,Answer
10192,"[('viscosity', 0.03383333333333333), ('wittig_reaction', 0.025), ('spin_(physics)', 0.0021666666666666666), ('dark_energy', 0.002), ('zeeman_effect', 0.0019166666666666668), ('dark_matter', 0.0015), ('redshift', 0.00125), ('electronegativity', 0.0012499999999999998), ('power_(physics)', 0.001), ('infrared_spectroscopy', 0.001), ('benzene', 0.001)]"
103061,"[('microtubule', 0.03333333333333333), ('bose-einstein_condensate', 0.03333333333333333), ('antibody', 0.02525), ('ester', 0.002), ('histone', 0.0012000000000000001), ('corpus_callosum', 0.001), ('atp_synthase', 0.001), ('transfer_rna', 0.001), ('ether', 0.001), ('retina', 0.001), ('liquid_crystal', 0.000625)]"
104713,"[('helmholtz_free_energy', 0.0005), ('power_(physics)', 0), ('vorticity', 0), ('liquid_crystal', 0), ('glycine', 0), ('lysosome', 0), ('hall_effect', 0), ('friction', 0), ('magnetic_monopole', 0), ('entropy', 0), ('dopamine', 0)]"
104825,"[('microtubule', 0.06100000000000001), ('histone', 0.06090000000000001), ('mitochondrion', 0.03383333333333333), ('raman_scattering', 0.03333333333333333), ('cyclohexane', 0.03333333333333333), ('electronegativity', 0.025), ('phloem', 0.0015), ('bacteriophage', 0.0011666666666666665), ('citric_acid_cycle', 0.001), ('bose-einstein_condensate', 0.001), ('pancreas', 0.001)]"
10493,"[('ferromagnetism', 0.0514), ('diffraction', 0.033944444444444444), ('birefringence', 0.002), ('cherenkov_radiation', 0.00125), ('liquid_crystal', 0.001), ('entropy', 0.001), ('turbulence', 0.001), ('pauli_exclusion_principle', 0.001), ('doppler_effect', 0.001), ('brownian_motion', 0.0006666666666666666), ('dark_energy', 0.0006666666666666666)]"
105007,"[('zeeman_effect', 0.08569404761904761), ('diffusion', 0.0505), ('spin_(physics)', 0.038533333333333336), ('chemical_potential', 0.03333333333333333), ('infrared_spectroscopy', 0.025), ('viscosity', 0.020000000000000004), ('ferromagnetism', 0.016833333333333332), ('magnetic_monopole', 0.0025), ('moment_of_inertia', 0.0025), ('cherenkov_radiation', 0.001), ('tetanus', 0.001)]"
10521,"[('raman_scattering', 0.021500000000000005), ('zeeman_effect', 0.00125), ('magnetic_monopole', 0.001), ('alkene', 0.001), ('capacitance', 0.001), ('liver', 0.001), ('fugacity', 0.0009166666666666665), ('doppler_effect', 0.0008333333333333333), ('electronegativity', 0.0007), ('ester', 0.0007), ('dark_matter', 0.0005)]"
10689,"[('peptidoglycan', 0.001), ('cellulose', 0.0006666666666666666), ('arrhenius_equation', 0.0003333333333333333), ('phloem', 0.0003333333333333333), ('higgs_boson', 0.00025), ('power_(physics)', 0), ('vorticity', 0), ('liquid_crystal', 0), ('glycine', 0), ('lysosome', 0), ('hall_effect', 0)]"
107429,"[('paramagnetism', 0.03333333333333333), ('cherenkov_radiation', 0.0013333333333333333), ('capacitance', 0.0012000000000000001), ('electron_transport_chain', 0.001), ('piezoelectricity', 0.001), ('bose-einstein_condensate', 0.00075), ('spin_(physics)', 0.0006666666666666666), ('vorticity', 0.00065), ('vapor_pressure', 0.0005833333333333333), ('dark_matter', 0.0005), ('hemoglobin', 0.0005)]"
107471,"[('friction', 0.1), ('heat_capacity', 0.1), ('paramagnetism', 0.05), ('angular_momentum', 0.020000000000000004), ('corpus_callosum', 0.001), ('vapor_pressure', 0.001), ('helmholtz_free_energy', 0.001), ('neutron', 0.0006727564102564103), ('adenosine_triphosphate', 0.0005), ('electron_transport_chain', 0.0005), ('gibbs_free_energy', 0.0005)]"
108094,"[('bose-einstein_condensate', 0.101), ('pauli_exclusion_principle', 0.1), ('pancreas', 0.02252500000000001), ('insulin', 0.0016666666666666666), ('liver', 0.0014931792345585448), ('placenta', 0.00125), ('spleen', 0.0011359649122807017), ('retina', 0.0010333333333333334), ('friction', 0.001), ('citric_acid_cycle', 0.001), ('benzene', 0.001)]"
