Question ID,Answer
10192,"[('spin_(physics)', 0.006400432900432901), ('equilibrium_constant', 0.0033333333333333335), ('power_(physics)', 0.0030833333333333333), ('glycine', 0.002743589743589744), ('serotonin', 0.0026666666666666666), ('photoelectric_effect', 0.0026), ('angular_momentum', 0.0025595238095238093), ('zeeman_effect', 0.0024052881758764117), ('diffraction', 0.002333333333333333), ('paramagnetism', 0.002287301587301588), ('compton_scattering', 0.002266666666666667)]"
103061,"[('mitochondrion', 0.004126703296703297), ('ester', 0.0037970238095238105), ('neutrino', 0.003755555555555556), ('ribosome', 0.003619047619047619), ('colligative_properties', 0.003542857142857143), ('liver', 0.0031666666666666666), ('equilibrium_constant', 0.003142857142857143), ('polarization_(waves)', 0.003), ('dark_matter', 0.003), ('antibody', 0.0027334738361054155), ('histone', 0.0026254329004329006)]"
104713,"[('corpus_callosum', 0.002), ('doppler_effect', 0.002), ('paramagnetism', 0.001642857142857143), ('insulin', 0.0016), ('mitochondrion', 0.0015), ('esophagus', 0.0015), ('apoptosis', 0.0011250000000000001), ('malaria', 0.0011250000000000001), ('birefringence', 0.0010526315789473684), ('gibbs_free_energy', 0.0010476190476190477), ('compton_scattering', 0.001)]"
104825,"[('amine', 0.0046500000000000005), ('equilibrium_constant', 0.0045000000000000005), ('transfer_rna', 0.004426190476190476), ('colligative_properties', 0.0037), ('cherenkov_radiation', 0.00366025641025641), ('polarization_(waves)', 0.0035), ('bacteriophage', 0.0035), ('bose-einstein_condensate', 0.0034694444444444447), ('alkene', 0.0033), ('ketone', 0.0030593406593406596), ('histone', 0.0030284090909090916)]"
10493,"[('turbulence', 0.036333333333333336), ('ferromagnetism', 0.028139682539682537), ('doppler_effect', 0.02758333333333334), ('piezoelectricity', 0.027226190476190484), ('dark_matter', 0.025883333333333335), ('paramagnetism', 0.024913095238095245), ('electronegativity', 0.010412337662337665), ('birefringence', 0.006471929824561403), ('polarization_(waves)', 0.005333333333333334), ('corpus_callosum', 0.005), ('cherenkov_radiation', 0.0036166666666666665)]"
105007,"[('zeeman_effect', 0.08743704906204905), ('spin_(physics)', 0.057022727272727274), ('doppler_effect', 0.05333333333333333), ('niels_bohr', 0.052500000000000005), ('angular_momentum', 0.04973333333333334), ('neutron', 0.03591596638655462), ('polarization_(waves)', 0.03526666666666666), ('pauli_exclusion_principle', 0.028166666666666673), ('raman_scattering', 0.027424242424242427), ('moment_of_inertia', 0.023650000000000008), ('vapor_pressure', 0.0041764705882352945)]"
10521,"[('raman_scattering', 0.05426282051282052), ('piezoelectricity', 0.051404761904761904), ('adrenal_gland', 0.05), ('paramagnetism', 0.03540555555555556), ('retina', 0.033916666666666664), ('vapor_pressure', 0.03353174603174603), ('liver', 0.0032), ('vitamin_k', 0.002333333333333333), ('electronegativity', 0.0022333333333333337), ('bose-einstein_condensate', 0.002076923076923077), ('chemical_potential', 0.002)]"
10689,"[('sulfuric_acid', 0.03333333333333333), ('dark_matter', 0.026500000000000003), ('ferromagnetism', 0.017), ('zeeman_effect', 0.009303104212860312), ('diffusion', 0.0013333333333333333), ('compton_scattering', 0.0010714285714285715), ('corpus_callosum', 0.001), ('brownian_motion', 0.001), ('birefringence', 0.001), ('chemical_potential', 0.001), ('colligative_properties', 0.001)]"
107429,"[('hemoglobin', 0.1005), ('polarization_(waves)', 0.06806666666666668), ('insulin', 0.068), ('zeeman_effect', 0.05108147865206689), ('niels_bohr', 0.033666666666666664), ('electronegativity', 0.025933333333333336), ('entropy', 0.02591666666666667), ('diffraction', 0.02083333333333334), ('moment_of_inertia', 0.01484126984126984), ('pauli_exclusion_principle', 0.013991666666666668), ('vapor_pressure', 0.0024603174603174604)]"
107471,"[('angular_momentum', 0.06790833333333333), ('vorticity', 0.034416666666666665), ('momentum', 0.029488095238095237), ('moment_of_inertia', 0.02269152046783626), ('magnetic_monopole', 0.0046102564102564105), ('colligative_properties', 0.0025), ('ester', 0.0016928571428571429), ('spin_(physics)', 0.0013666666666666666), ('zeeman_effect', 0.0013428571428571428), ('satyendra_nath_bose', 0.0013333333333333333), ('amine', 0.0013333333333333333)]"
