Question ID,Answer
10192,"[('hemoglobin', 0.03370137085137086), ('wittig_reaction', 0.026798913043478267), ('zeeman_effect', 0.014394604048682853), ('spin_(physics)', 0.009146250808015512), ('serotonin', 0.004809523809523809), ('redshift', 0.004583333333333333), ('friction', 0.0035928571428571424), ('photoelectric_effect', 0.0034761904761904765), ('magnetic_field', 0.003466666666666667), ('raman_scattering', 0.0034632584806497846), ('ether', 0.003416666666666667)]"
103061,"[('ester', 0.10542813732528117), ('cellulose', 0.08604761904761904), ('phloem', 0.08503791613179291), ('insulin', 0.06963518518518522), ('antibody', 0.06345279643928854), ('chlorophyll_a', 0.05711117376775271), ('abscisic_acid', 0.053833333333333316), ('photosynthesis', 0.05376190476190479), ('hemoglobin', 0.052237734487734507), ('spleen', 0.051886809885244425), ('microtubule', 0.048297805788982254)]"
104713,"[('corpus_callosum', 0.002), ('cartilage', 0.002), ('doppler_effect', 0.0017500000000000003), ('malaria', 0.0016666666666666666), ('paramagnetism', 0.0016052631578947368), ('insulin', 0.001574074074074074), ('mitochondrion', 0.001574074074074074), ('esophagus', 0.0015), ('lyme_disease', 0.0014999999999999998), ('polarization_(waves)', 0.0012000000000000001), ('titanium', 0.0012000000000000001)]"
104825,"[('phloem', 0.15161354239256677), ('transfer_rna', 0.12434696784696789), ('zeeman_effect', 0.08912395768770628), ('chloroplast', 0.06235), ('lactic_acid', 0.05361904761904763), ('liver', 0.05288702107279694), ('peptidoglycan', 0.05264285714285714), ('abscisic_acid', 0.05217499999999999), ('turbulence', 0.05124582259845418), ('photosynthesis', 0.05077142857142859), ('citric_acid_cycle', 0.03692673992673994)]"
10493,"[('birefringence', 0.056559085213032594), ('ferromagnetism', 0.053451175347949555), ('spin_(physics)', 0.052474822236586956), ('bose-einstein_condensate', 0.05235548340548341), ('equilibrium_constant', 0.05161904761904763), ('edward_jenner', 0.05059523809523811), ('aardvark', 0.03606666666666667), ('benzene', 0.03578611111111112), ('capacitor', 0.035541666666666666), ('infrared_spectroscopy', 0.03544753434970827), ('neutrino', 0.03511904761904761)]"
105007,"[('spin_(physics)', 0.16217295841413484), ('niels_bohr', 0.10879848484848487), ('pauli_exclusion_principle', 0.06522761867905057), ('hall_effect', 0.056410805860805865), ('satyendra_nath_bose', 0.05476515151515154), ('zeeman_effect', 0.04915057510623551), ('polarization_(waves)', 0.03956666666666667), ('neutron', 0.038632135217723435), ('ferromagnetism', 0.037952611367127485), ('heat_capacity', 0.03320000000000001), ('raman_scattering', 0.03308637899095565)]"
10521,"[('raman_scattering', 0.09080883898709986), ('doppler_effect', 0.05053333333333334), ('paramagnetism', 0.034953174603174604), ('angular_momentum', 0.03390175438596491), ('ferromagnetism', 0.017453405017921145), ('liver', 0.0030277777777777777), ('vitamin_k', 0.0026666666666666666), ('colligative_properties', 0.0024000000000000002), ('electronegativity', 0.0022636363636363635), ('ether', 0.002), ('chromatography', 0.002)]"
10689,"[('sulfuric_acid', 0.03405661881977672), ('dark_matter', 0.027130769230769236), ('ferromagnetism', 0.017746464646464646), ('zeeman_effect', 0.009548937546193645), ('brownian_motion', 0.0035), ('cartilage', 0.0032), ('higgs_boson', 0.0027261904761904762), ('photoelectric_effect', 0.002676190476190476), ('equilibrium_constant', 0.002642857142857143), ('peptidoglycan', 0.002533333333333333), ('triton_(moon)', 0.0024761904761904764)]"
107429,"[('spin_(physics)', 0.03515577461753934), ('niels_bohr', 0.03410606060606061), ('vapor_pressure', 0.027646918767507012), ('entropy', 0.02642112517891578), ('vorticity', 0.026309138419200337), ('electronegativity', 0.02627045454545455), ('torque', 0.025599216524216532), ('diffraction', 0.02065079365079366), ('moment_of_inertia', 0.014966222728349592), ('pauli_exclusion_principle', 0.014096104231166154), ('cartilage', 0.0037000000000000006)]"
107471,"[('magnetic_monopole', 0.0049011655011655), ('colligative_properties', 0.0029000000000000002), ('friction', 0.0026666666666666666), ('capacitor', 0.0025555555555555557), ('liquid_crystal', 0.0024102564102564104), ('helmholtz_free_energy', 0.0023676470588235294), ('heat_capacity', 0.0022500000000000003), ('spin_(physics)', 0.0021509803921568632), ('angular_momentum', 0.0020362781954887214), ('redshift', 0.002), ('zeeman_effect', 0.0019934710991314766)]"
