Question ID,Answer
10195,"[('photoelectric_effect', 0.008019047619047617), ('citric_acid_cycle', 0.005776923076923076), ('magnetic_monopole', 0.00465), ('benzene', 0.0040524531024531026), ('sulfuric_acid', 0.0038440476190476193), ('compton_scattering', 0.0037909072249589486), ('magnetic_field', 0.0037502525252525254), ('doppler_effect', 0.003066880341880342), ('gibbs_free_energy', 0.002965151515151515), ('aspirin', 0.0027575757575757573), ('equilibrium_constant', 0.0027500000000000003), ('photoelectric_effect', 0.012002380952380952), ('citric_acid_cycle', 0.006176923076923077), ('compton_scattering', 0.006157573891625614), ('magnetic_field', 0.004848737373737373), ('sulfuric_acid', 0.004844047619047619), ('benzene', 0.004719119769119769), ('magnetic_monopole', 0.00465), ('infrared_spectroscopy', 0.004567532467532468), ('polarization_(waves)', 0.0041333333333333335), ('retina', 0.0036110584018553653), ('gibbs_free_energy', 0.0032984848484848488), ('photoelectric_effect', 0.027961904761904778), ('citric_acid_cycle', 0.010879304029304029), ('retina', 0.00848776091081594), ('benzene', 0.008476479076479077), ('magnetic_field', 0.008007226107226107), ('compton_scattering', 0.007786140344329998), ('magnetic_monopole', 0.0074333333333333335), ('vitamin_k', 0.007225), ('polarization_(waves)', 0.007225), ('vapor_pressure', 0.006967857142857144), ('sulfuric_acid', 0.0069404761904761905)]"
10475,"[('raman_scattering', 0.022722876636034534), ('retina', 0.002891781874039938), ('bose-einstein_condensate', 0.0023731893106893106), ('photoelectric_effect', 0.0021722222222222225), ('polarization_(waves)', 0.0020250000000000003), ('malaria', 0.0019166666666666666), ('infrared_spectroscopy', 0.0016883116883116883), ('citric_acid_cycle', 0.0014697802197802198), ('mitochondrion', 0.001341731601731602), ('magnetic_field', 0.001196969696969697), ('spleen', 0.0011531746031746032), ('raman_scattering', 0.33818752697251087), ('malaria', 0.2096785714285714), ('retina', 0.2095294057407909), ('magnetic_monopole', 0.20732499999999998), ('hemoglobin', 0.15639285714285714), ('electronegativity', 0.09270430402930402), ('wittig_reaction', 0.013739097744360902), ('sulfuric_acid', 0.011435714285714283), ('polarization_(waves)', 0.0113), ('photoelectric_effect', 0.010980158730158732), ('infrared_spectroscopy', 0.010858008658008659), ('retina', 0.10467502033071292), ('malaria', 0.1035595238095238), ('magnetic_monopole', 0.10299166666666666), ('raman_scattering', 0.08711442846942075), ('hemoglobin', 0.07622619047619048), ('electronegativity', 0.04448287545787545), ('polarization_(waves)', 0.0046500000000000005), ('photoelectric_effect', 0.004622222222222223), ('wittig_reaction', 0.004419047619047619), ('citric_acid_cycle', 0.004416483516483516), ('sulfuric_acid', 0.004067857142857143), ('raman_scattering', 0.15582981893980352), ('retina', 0.10631829462967982), ('malaria', 0.10628571428571428), ('magnetic_monopole', 0.105275), ('hemoglobin', 0.0803095238095238), ('electronegativity', 0.04855847069597069), ('wittig_reaction', 0.009596240601503759), ('polarization_(waves)', 0.0094), ('citric_acid_cycle', 0.009136996336996338), ('sulfuric_acid', 0.009044047619047616), ('compton_scattering', 0.008716736950788674), ('raman_scattering', 0.12587591965281597), ('retina', 0.10550947110026805), ('malaria', 0.10516071428571427), ('magnetic_monopole', 0.104725), ('hemoglobin', 0.0783095238095238), ('electronegativity', 0.046968589743589736), ('wittig_reaction', 0.007605012531328321), ('polarization_(waves)', 0.007566666666666665), ('citric_acid_cycle', 0.007270329670329671), ('sulfuric_acid', 0.006710714285714285), ('aspirin', 0.006040909090909092)]"
104905,"[('vapor_pressure', 0.0659857142857143), ('retina', 0.01474321556579621), ('equilibrium_constant', 0.01131666666666667), ('magnetic_monopole', 0.011275000000000002), ('photoelectric_effect', 0.010965079365079365), ('citric_acid_cycle', 0.010963369963369963), ('gibbs_free_energy', 0.01094090909090909), ('magnetic_field', 0.01043506216006216), ('polarization_(waves)', 0.008316666666666667), ('caenorhabditis_elegans', 0.007904093567251462), ('malaria', 0.007761904761904761), ('vapor_pressure', 0.040195238095238096), ('retina', 0.007355222734254991), ('citric_acid_cycle', 0.005148351648351648), ('malaria', 0.004809523809523809), ('magnetic_monopole', 0.004275), ('magnetic_field', 0.004245454545454545), ('equilibrium_constant', 0.004183333333333334), ('bose-einstein_condensate', 0.0036740342990342996), ('vitamin_k', 0.0036000000000000003), ('photoelectric_effect', 0.003316666666666667), ('hemoglobin', 0.0033095238095238095), ('vapor_pressure', 0.05508214285714285), ('retina', 0.010896441372247823), ('magnetic_monopole', 0.009508333333333334), ('photoelectric_effect', 0.009487301587301586), ('gibbs_free_energy', 0.009290909090909091), ('equilibrium_constant', 0.00915), ('citric_acid_cycle', 0.008594322344322345), ('magnetic_field', 0.007710819735819736), ('caenorhabditis_elegans', 0.0069128654970760225), ('placenta', 0.0069075091575091585), ('polarization_(waves)', 0.006508333333333332), ('vapor_pressure', 0.0037369047619047625), ('retina', 0.0036562980030721962), ('equilibrium_constant', 0.0032166666666666663), ('bose-einstein_condensate', 0.003200112387612388), ('citric_acid_cycle', 0.0026126373626373625), ('magnetic_monopole', 0.0026083333333333336), ('malaria', 0.0025), ('hemoglobin', 0.002351190476190476), ('wittig_reaction', 0.0021523809523809525), ('magnetic_field', 0.0019151515151515153), ('photoelectric_effect', 0.0018111111111111112)]"
10505,"[('doppler_effect', 0.06397155067155065), ('citric_acid_cycle', 0.018111721611721608), ('aspirin', 0.015840151515151515), ('magnetic_monopole', 0.015758333333333336), ('wittig_reaction', 0.014900250626566417), ('magnetic_field', 0.01456630314130314), ('retina', 0.014385509472606245), ('photoelectric_effect', 0.012076190476190473), ('malaria', 0.011011904761904761), ('polarization_(waves)', 0.010799999999999999), ('sulfuric_acid', 0.010348809523809524), ('doppler_effect', 0.05540979853479849), ('citric_acid_cycle', 0.014885531135531135), ('aspirin', 0.01245757575757576), ('magnetic_monopole', 0.012341666666666667), ('magnetic_field', 0.012143672993672996), ('wittig_reaction', 0.012057393483709277), ('retina', 0.010866513056835638), ('polarization_(waves)', 0.008925), ('mitochondrion', 0.008257402597402597), ('sulfuric_acid', 0.008142857142857144), ('malaria', 0.008142857142857143), ('doppler_effect', 0.045229853479853456), ('citric_acid_cycle', 0.010130036630036632), ('aspirin', 0.009249242424242424), ('wittig_reaction', 0.009128822055137846), ('magnetic_field', 0.007400491175491176), ('magnetic_monopole', 0.006691666666666667), ('polarization_(waves)', 0.0060999999999999995), ('retina', 0.005988556067588325), ('mitochondrion', 0.005766493506493506), ('bose-einstein_condensate', 0.005514152514152514), ('sulfuric_acid', 0.005360714285714286), ('wittig_reaction', 0.004619298245614035), ('doppler_effect', 0.0033887973137973143), ('citric_acid_cycle', 0.0029166666666666664), ('aspirin', 0.0026242424242424243), ('gibbs_free_energy', 0.002340909090909091), ('bose-einstein_condensate', 0.00211969696969697), ('vapor_pressure', 0.0020000000000000005), ('vitamin_k', 0.0019083333333333335), ('edward_jenner', 0.001892857142857143), ('magnetic_field', 0.0018092463092463091), ('ester', 0.0016807798481711528)]"
10530,"[('ferromagnetism', 0.05977594344061738), ('magnetic_field', 0.013440870240870241), ('citric_acid_cycle', 0.012815018315018314), ('retina', 0.011982437275985663), ('vapor_pressure', 0.010683333333333335), ('vitamin_k', 0.010666666666666666), ('polarization_(waves)', 0.010083333333333335), ('magnetic_monopole', 0.009066666666666667), ('gibbs_free_energy', 0.008881818181818182), ('photoelectric_effect', 0.008474603174603175), ('sulfuric_acid', 0.007961904761904762), ('magnetic_field', 0.005949048174048174), ('citric_acid_cycle', 0.005309523809523811), ('retina', 0.005075627240143369), ('vapor_pressure', 0.004716666666666667), ('sulfuric_acid', 0.004692857142857143), ('vitamin_k', 0.004525), ('gibbs_free_energy', 0.004090909090909091), ('mitochondrion', 0.004086493506493507), ('photoelectric_effect', 0.003542857142857143), ('caenorhabditis_elegans', 0.0035247076023391818), ('placenta', 0.0034812271062271065), ('ferromagnetism', 0.07047113408934068), ('citric_acid_cycle', 0.01690787545787546), ('magnetic_field', 0.015893706293706296), ('retina', 0.014434629981024667), ('vapor_pressure', 0.013233333333333335), ('vitamin_k', 0.012991666666666667), ('polarization_(waves)', 0.012975), ('gibbs_free_energy', 0.011722727272727274), ('photoelectric_effect', 0.011667460317460318), ('magnetic_monopole', 0.011041666666666667), ('sulfuric_acid', 0.010591666666666666), ('ferromagnetism', 0.08282016790576584), ('citric_acid_cycle', 0.018794322344322347), ('retina', 0.017684629981024665), ('magnetic_field', 0.017561538461538462), ('photoelectric_effect', 0.016145238095238098), ('vitamin_k', 0.015308333333333332), ('polarization_(waves)', 0.014308333333333333), ('vapor_pressure', 0.013908333333333333), ('magnetic_monopole', 0.013691666666666666), ('gibbs_free_energy', 0.012922727272727271), ('placenta', 0.012770604395604396), ('citric_acid_cycle', 0.00983882783882784), ('magnetic_field', 0.009646930846930846), ('retina', 0.009334587813620072), ('vitamin_k', 0.0083), ('vapor_pressure', 0.008058333333333334), ('polarization_(waves)', 0.007566666666666667), ('gibbs_free_energy', 0.007548484848484848), ('photoelectric_effect', 0.007135714285714286), ('sulfuric_acid', 0.00709404761904762), ('ferromagnetism', 0.0070412212183951295), ('mitochondrion', 0.006373528138528139), ('ferromagnetism', 0.06563251693958215), ('magnetic_field', 0.014619813519813521), ('citric_acid_cycle', 0.01449120879120879), ('retina', 0.013402371916508537), ('vapor_pressure', 0.012900000000000002), ('polarization_(waves)', 0.012116666666666668), ('vitamin_k', 0.011541666666666667), ('gibbs_free_energy', 0.010472727272727272), ('photoelectric_effect', 0.01041190476190476), ('magnetic_monopole', 0.010166666666666666), ('sulfuric_acid', 0.009561904761904761)]"
10635,"[('bose-einstein_condensate', 0.04527815379065377), ('citric_acid_cycle', 0.009455494505494506), ('magnetic_field', 0.009332439782439783), ('photoelectric_effect', 0.009063492063492065), ('wittig_reaction', 0.009058395989974937), ('retina', 0.008300042167404596), ('vapor_pressure', 0.0071916666666666665), ('sulfuric_acid', 0.00713095238095238), ('aspirin', 0.006723484848484848), ('vitamin_k', 0.006558333333333333), ('hemoglobin', 0.00649404761904762), ('magnetic_field', 0.0067886946386946385), ('citric_acid_cycle', 0.006362637362637364), ('bose-einstein_condensate', 0.006309509934509935), ('wittig_reaction', 0.005962907268170426), ('hemoglobin', 0.005226190476190476), ('vapor_pressure', 0.004975), ('retina', 0.0048145161290322576), ('photoelectric_effect', 0.004366666666666667), ('sulfuric_acid', 0.004067857142857142), ('aspirin', 0.0039742424242424235), ('vitamin_k', 0.0039), ('citric_acid_cycle', 0.004136446886446887), ('magnetic_field', 0.003850815850815851), ('vapor_pressure', 0.003716666666666667), ('wittig_reaction', 0.003700751879699248), ('aspirin', 0.003391666666666667), ('sulfuric_acid', 0.0032964285714285712), ('photoelectric_effect', 0.003255555555555556), ('bose-einstein_condensate', 0.0032456640581640583), ('hemoglobin', 0.003125), ('retina', 0.0030822580645161286), ('edward_jenner', 0.0028690476190476196), ('bose-einstein_condensate', 0.2650630855255856), ('compton_scattering', 0.03401335895904862), ('citric_acid_cycle', 0.017341941391941392), ('retina', 0.014011383693262252), ('magnetic_field', 0.013928399378399382), ('wittig_reaction', 0.013417919799498747), ('photoelectric_effect', 0.013078571428571427), ('gibbs_free_energy', 0.011665151515151516), ('magnetic_monopole', 0.011316666666666668), ('benzene', 0.010501875901875901), ('aspirin', 0.010439393939393943), ('bose-einstein_condensate', 0.25410358669108674), ('compton_scattering', 0.03168457108026073), ('citric_acid_cycle', 0.01569908424908425), ('magnetic_field', 0.01277082362082362), ('photoelectric_effect', 0.011434126984126986), ('retina', 0.010668526550405108), ('wittig_reaction', 0.010108395989974936), ('magnetic_monopole', 0.009691666666666668), ('gibbs_free_energy', 0.009165151515151517), ('aspirin', 0.009056818181818182), ('vapor_pressure', 0.008809523809523809)]"
10650,"[('raman_scattering', 0.4268858370860303), ('retina', 0.015471931568326254), ('citric_acid_cycle', 0.014281501831501831), ('wittig_reaction', 0.013920300751879701), ('photoelectric_effect', 0.01325952380952381), ('infrared_spectroscopy', 0.01225865800865801), ('malaria', 0.011910714285714283), ('gibbs_free_energy', 0.011807575757575756), ('magnetic_field', 0.011376728826728829), ('vapor_pressure', 0.010583333333333335), ('magnetic_monopole', 0.010475000000000002), ('raman_scattering', 0.06983531589669369), ('retina', 0.008024082105960664), ('wittig_reaction', 0.007981203007518797), ('citric_acid_cycle', 0.007442673992673992), ('photoelectric_effect', 0.007353968253968255), ('malaria', 0.006351190476190475), ('magnetic_monopole', 0.006341666666666667), ('gibbs_free_energy', 0.0062742424242424235), ('sulfuric_acid', 0.0056654761904761895), ('placenta', 0.005646520146520147), ('aspirin', 0.005590151515151515), ('retina', 0.0030822580645161286), ('malaria', 0.0028333333333333335), ('raman_scattering', 0.0025389180020758974), ('hemoglobin', 0.0022916666666666667), ('infrared_spectroscopy', 0.0021716450216450215), ('doppler_effect', 0.002107051282051282), ('magnetic_field', 0.0017219696969696969), ('citric_acid_cycle', 0.0016126373626373625), ('wittig_reaction', 0.001519047619047619), ('hydrazine', 0.0015047008547008547), ('photoelectric_effect', 0.0014555555555555559), ('raman_scattering', 0.16891543760247324), ('citric_acid_cycle', 0.010936263736263736), ('photoelectric_effect', 0.010781746031746031), ('wittig_reaction', 0.010653132832080199), ('retina', 0.009939673503810127), ('gibbs_free_energy', 0.009390909090909089), ('malaria', 0.008827380952380951), ('magnetic_field', 0.008813092463092465), ('magnetic_monopole', 0.008358333333333334), ('doppler_effect', 0.008095207570207569), ('vapor_pressure', 0.007766666666666667), ('raman_scattering', 0.03209392074214054), ('wittig_reaction', 0.006195238095238096), ('retina', 0.005798966898587393), ('citric_acid_cycle', 0.0057824175824175835), ('photoelectric_effect', 0.005653968253968255), ('aspirin', 0.004723484848484848), ('infrared_spectroscopy', 0.004719913419913421), ('malaria', 0.0046845238095238086), ('placenta', 0.004676739926739926), ('caenorhabditis_elegans', 0.004296637426900585), ('gibbs_free_energy', 0.0041575757575757575)]"
106870,"[('electronegativity', 0.033117776382114605), ('retina', 0.010282342399325323), ('citric_acid_cycle', 0.010084065934065934), ('magnetic_monopole', 0.008076190476190476), ('gibbs_free_energy', 0.007531818181818181), ('magnetic_field', 0.007228341103341103), ('infrared_spectroscopy', 0.006911038961038961), ('photoelectric_effect', 0.006723015873015873), ('vapor_pressure', 0.006558333333333334), ('placenta', 0.0059908424908424905), ('benzene', 0.005792388167388167), ('electronegativity', 0.14872336425829072), ('retina', 0.11447562340674294), ('magnetic_monopole', 0.11320238095238094), ('malaria', 0.10800595238095237), ('hemoglobin', 0.08322500000000001), ('raman_scattering', 0.06511619489901224), ('citric_acid_cycle', 0.016033150183150182), ('gibbs_free_energy', 0.013431818181818182), ('photoelectric_effect', 0.01135079365079365), ('magnetic_field', 0.01055491452991453), ('aspirin', 0.010225000000000001), ('electronegativity', 0.031112281876620105), ('retina', 0.008840185536580223), ('citric_acid_cycle', 0.008664285714285715), ('magnetic_monopole', 0.006926190476190476), ('gibbs_free_energy', 0.006498484848484849), ('magnetic_field', 0.006470765345765347), ('infrared_spectroscopy', 0.006201515151515152), ('vapor_pressure', 0.006141666666666667), ('photoelectric_effect', 0.00573015873015873), ('placenta', 0.005574175824175825), ('mitochondrion', 0.005348181818181818), ('citric_acid_cycle', 0.004819047619047619), ('magnetic_field', 0.003943745143745144), ('infrared_spectroscopy', 0.003915151515151516), ('retina', 0.0037989668985873924), ('photoelectric_effect', 0.0037761904761904764), ('magnetic_monopole', 0.0034095238095238093), ('caenorhabditis_elegans', 0.0032438596491228067), ('placenta', 0.003158882783882784), ('gibbs_free_energy', 0.0031242424242424248), ('compton_scattering', 0.0028994750460267704), ('hemoglobin', 0.0028333333333333335), ('electronegativity', 0.1583784008883274), ('retina', 0.11715895674007627), ('magnetic_monopole', 0.11568571428571428), ('malaria', 0.11148214285714285), ('hemoglobin', 0.08389166666666667), ('raman_scattering', 0.06667992145023878), ('citric_acid_cycle', 0.01868699633699634), ('gibbs_free_energy', 0.015531818181818181), ('photoelectric_effect', 0.014745238095238096), ('magnetic_field', 0.014165170940170939), ('aspirin', 0.013258333333333334)]"
108540,"[('torque', 0.05766092796092795), ('citric_acid_cycle', 0.009458608058608056), ('wittig_reaction', 0.008107393483709273), ('momentum', 0.00790735171261487), ('retina', 0.00788897322369808), ('vapor_pressure', 0.00765), ('magnetic_field', 0.007561169386169386), ('aspirin', 0.007290909090909091), ('equilibrium_constant', 0.007133333333333333), ('photoelectric_effect', 0.006643650793650794), ('placenta', 0.006622252747252748), ('torque', 0.05452283272283272), ('citric_acid_cycle', 0.007865750915750914), ('magnetic_field', 0.00709434731934732), ('wittig_reaction', 0.00656453634085213), ('retina', 0.006486780518659077), ('momentum', 0.006353728070175438), ('vapor_pressure', 0.006225), ('aspirin', 0.005908333333333333), ('equilibrium_constant', 0.005483333333333332), ('malaria', 0.005446428571428571), ('magnetic_monopole', 0.005233333333333334), ('torque', 0.023101068376068363), ('wittig_reaction', 0.0030666666666666668), ('magnetic_field', 0.0023878787878787878), ('citric_acid_cycle', 0.0018602564102564102), ('momentum', 0.0018214285714285713), ('malaria', 0.0017916666666666665), ('infrared_spectroscopy', 0.0017883116883116881), ('vapor_pressure', 0.0015833333333333333), ('placenta', 0.0015114468864468864), ('mitochondrion', 0.00124), ('sulfuric_acid', 0.0011964285714285714), ('torque', 0.05097249694749695), ('wittig_reaction', 0.004921679197994988), ('citric_acid_cycle', 0.0048895604395604395), ('momentum', 0.00480858395989975), ('vapor_pressure', 0.004183333333333333), ('magnetic_field', 0.00414520202020202), ('aspirin', 0.004116666666666667), ('retina', 0.003931224963103522), ('magnetic_monopole', 0.0035666666666666668), ('gibbs_free_energy', 0.0034075757575757577), ('polarization_(waves)', 0.0033916666666666674), ('wittig_reaction', 0.002333333333333333), ('torque', 0.0015694444444444445), ('placenta', 0.0011250000000000001), ('compton_scattering', 0.001), ('doppler_effect', 0.00075), ('bose-einstein_condensate', 0.0006666666666666666), ('liver', 0.00065), ('cholesterol', 0.0005833333333333333), ('citric_acid_cycle', 0.0005333333333333334), ('ribosome', 0.0005), ('sulfuric_acid', 0.0005), ('torque', 0.06817322954822956), ('citric_acid_cycle', 0.013904578754578753), ('retina', 0.012526786843769766), ('momentum', 0.01235071010860485), ('aspirin', 0.011707575757575757), ('wittig_reaction', 0.01129310776942356), ('placenta', 0.0109253663003663), ('magnetic_field', 0.010623951048951051), ('equilibrium_constant', 0.010599999999999998), ('photoelectric_effect', 0.010518253968253967), ('magnetic_monopole', 0.0103)]"
108555,"[('liquid_crystal', 0.07880692640692642), ('infrared_spectroscopy', 0.005817316017316018), ('polarization_(waves)', 0.005141666666666667), ('wittig_reaction', 0.004319047619047619), ('equilibrium_constant', 0.0043), ('ester', 0.003973403408186017), ('citric_acid_cycle', 0.003933150183150183), ('bose-einstein_condensate', 0.003753250915750916), ('placenta', 0.0036474358974358974), ('photoelectric_effect', 0.0035912698412698413), ('mitochondrion', 0.0035504473304473305), ('liquid_crystal', 0.0055822510822510826), ('equilibrium_constant', 0.0028833333333333337), ('infrared_spectroscopy', 0.0026170995670995673), ('retina', 0.0022256272401433696), ('ester', 0.002210144927536232), ('magnetic_monopole', 0.0015999999999999999), ('hemoglobin', 0.0014166666666666668), ('aspirin', 0.0014166666666666666), ('raman_scattering', 0.0013969437482595375), ('polarization_(waves)', 0.0013166666666666667), ('photoelectric_effect', 0.001253968253968254), ('liquid_crystal', 0.13338116883116882), ('infrared_spectroscopy', 0.0063173160173160174), ('equilibrium_constant', 0.006066666666666666), ('polarization_(waves)', 0.005675), ('bose-einstein_condensate', 0.005125628538128538), ('retina', 0.0047380440348182284), ('ester', 0.004716260551043161), ('wittig_reaction', 0.00451453634085213), ('citric_acid_cycle', 0.00440934065934066), ('peroxisome', 0.00435), ('sulfuric_acid', 0.004214285714285715), ('liquid_crystal', 0.1428054112554113), ('infrared_spectroscopy', 0.008745887445887446), ('equilibrium_constant', 0.00865), ('wittig_reaction', 0.008014536340852132), ('bose-einstein_condensate', 0.007018485680985681), ('retina', 0.006771377368151563), ('ester', 0.006466260551043159), ('polarization_(waves)', 0.0063750000000000005), ('sulfuric_acid', 0.006247619047619048), ('peroxisome', 0.005994444444444445), ('microtubule', 0.005946428571428572), ('liquid_crystal', 0.0024242424242424247), ('infrared_spectroscopy', 0.0021121212121212123), ('ester', 0.0012000000000000001), ('equilibrium_constant', 0.00115), ('retina', 0.001032258064516129), ('hemoglobin', 0.0009583333333333334), ('electronegativity', 0.0008116071428571429), ('raman_scattering', 0.0007300194931773879), ('magnetic_monopole', 0.0006833333333333334), ('entropy', 0.0005844827586206897), ('mitochondrion', 0.0005147474747474747)]"
